x-coordinate,y-coordinate,class
244.625,55.0,t_shirt
243.981,55.0,t_shirt
242.694,56.719,t_shirt
242.05,56.719,t_shirt
240.763,58.438,t_shirt
240.119,58.438,t_shirt
238.831,60.156,t_shirt
238.188,60.156,t_shirt
234.969,64.453,t_shirt
233.681,64.453,t_shirt
233.038,65.313,t_shirt
231.106,65.313,t_shirt
230.463,66.172,t_shirt
229.175,66.172,t_shirt
228.531,65.313,t_shirt
227.244,65.313,t_shirt
226.6,66.172,t_shirt
224.025,66.172,t_shirt
223.381,67.031,t_shirt
221.45,67.031,t_shirt
220.806,67.891,t_shirt
217.588,67.891,t_shirt
216.944,68.75,t_shirt
212.438,68.75,t_shirt
211.794,69.609,t_shirt
204.713,69.609,t_shirt
204.069,70.469,t_shirt
202.781,70.469,t_shirt
202.138,71.328,t_shirt
200.206,71.328,t_shirt
199.563,70.469,t_shirt
194.413,70.469,t_shirt
193.769,69.609,t_shirt
192.481,69.609,t_shirt
191.838,68.75,t_shirt
180.894,68.75,t_shirt
180.25,67.891,t_shirt
178.963,67.891,t_shirt
178.319,67.031,t_shirt
177.675,67.031,t_shirt
177.031,66.172,t_shirt
175.744,66.172,t_shirt
175.1,65.313,t_shirt
173.169,65.313,t_shirt
172.525,64.453,t_shirt
171.881,64.453,t_shirt
171.238,63.594,t_shirt
170.594,63.594,t_shirt
169.95,62.734,t_shirt
169.306,62.734,t_shirt
168.663,61.875,t_shirt
167.375,61.875,t_shirt
166.731,61.016,t_shirt
166.088,61.016,t_shirt
164.8,59.297,t_shirt
164.156,59.297,t_shirt
163.513,58.438,t_shirt
162.225,58.438,t_shirt
161.581,57.578,t_shirt
160.294,57.578,t_shirt
159.65,56.719,t_shirt
159.65,55.859,t_shirt
159.006,55.859,t_shirt
158.363,55.0,t_shirt
157.719,55.0,t_shirt
148.706,42.969,t_shirt
148.706,42.109,t_shirt
148.063,41.25,t_shirt
147.419,41.25,t_shirt
146.131,39.531,t_shirt
146.131,37.813,t_shirt
144.2,35.234,t_shirt
144.2,34.375,t_shirt
143.556,33.516,t_shirt
143.556,30.938,t_shirt
142.913,30.078,t_shirt
142.913,29.219,t_shirt
141.625,27.5,t_shirt
